Node ID,Northing,Easting,WASP
28308,21536.348,15542.892,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
53855,21585.159,15556.256,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
35,21598.113,15578.487,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
27021,21618.232,15600.489,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
50103,21642.306,15626.876,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
25094,21659.995,15647.045,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
56035,21591.575,15627.027,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
17818,21574.018,15616.560,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
54000,21616.190,15561.523,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
1633,21684.844,15529.750,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
11341,21756.352,15496.093,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
48336,21824.648,15467.222,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
59624,21642.122,15585.175,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
26732,21702.399,15556.740,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
44263,21769.104,15525.517,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
38626,21829.718,15497.601,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
43522,21662.319,15610.840,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
52322,21730.323,15578.793,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
47351,21783.360,15554.296,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
34404,21845.650,15524.996,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
64352,21715.782,15621.577,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
6626,21783.476,15590.216,
53796,21839.698,15564.691,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
47502,21580.738,15543.624,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
9858,21634.626,15517.336,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
32362,21706.839,15483.599,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
46335,21780.958,15449.045,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
22002,21833.738,15424.400,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
36216,21568.432,15516.147,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
11386,21623.000,15487.290,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
6820,21693.547,15454.584,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
2630,21764.763,15421.297,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
31071,21820.769,15395.041,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
42484,21522.152,15515.319,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
30597,21555.404,15483.659,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
16390,21625.586,15450.898,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
33957,21679.800,15425.791,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
22094,21751.661,15392.553,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
16022,21807.039,15366.766,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
57622,21551.040,15476.943,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
40871,21541.470,15455.739,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
11357,21613.386,15421.805,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
59570,21667.304,15396.150,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
3216,21739.458,15362.499,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
62790,21792.419,15337.672,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
25169,21532.983,15443.954,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
63855,21528.970,15425.956,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
38965,21555.812,15413.578,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
31211,21617.580,15383.400,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
20955,21670.774,15359.181,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
13386,21726.127,15333.602,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
19891,21782.930,15307.089,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
2891,21477.024,15436.448,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
50804,21519.251,15411.835,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
34639,21519.168,15395.612,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
41969,21561.277,15375.215,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
44500,21603.489,15355.926,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
61890,21657.858,15330.324,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
65160,21712.466,15304.307,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
45663,21768.764,15278.963,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
25190,21510.923,15477.838,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
